accuracy,loss,val_accuracy,val_loss
0.5509269833564758,1.207917332649231,0.5714772939682007,1.0135914087295532
0.6719698905944824,0.7327990531921387,0.7059090733528137,0.6463780999183655
0.7203805446624756,0.6114984750747681,0.7688636183738708,0.5095419883728027
0.7725250720977783,0.5122369527816772,0.8090909123420715,0.4315785765647888
0.8198642730712891,0.4152950048446655,0.8436363339424133,0.3587876260280609
0.8608071804046631,0.33648526668548584,0.8793181777000427,0.2953900098800659
0.8961654305458069,0.2602812945842743,0.9057954549789429,0.23674526810646057
0.9188934564590454,0.20212964713573456,0.9317045211791992,0.17539629340171814
0.9364265203475952,0.16392402350902557,0.9493181705474854,0.12854455411434174
0.9537972211837769,0.12600991129875183,0.9501136541366577,0.130384624004364
0.9610052108764648,0.10356922447681427,0.9614772796630859,0.10139726102352142
0.9660053849220276,0.08922790735960007,0.9737499952316284,0.07323078066110611
0.9724666476249695,0.076266810297966,0.9688636660575867,0.08102069050073624
0.9769797921180725,0.06610780954360962,0.9795454740524292,0.056631386280059814
0.9806162714958191,0.052699603140354156,0.9771590828895569,0.0672537088394165
0.9820448756217957,0.049930501729249954,0.9865909218788147,0.03645957633852959
0.983863115310669,0.04493110254406929,0.9857954382896423,0.04075409099459648
0.9863307476043701,0.040889836847782135,0.9863636493682861,0.03621331974864006
0.9859411120414734,0.03913853317499161,0.9857954382896423,0.04021669551730156
0.9892529249191284,0.03344577178359032,0.9885227084159851,0.03281966596841812
0.9891230463981628,0.029825976118445396,0.9838636517524719,0.046939365565776825
0.990681529045105,0.026267774403095245,0.9885227084159851,0.033728040754795074
0.9910386800765991,0.025328975170850754,0.9900000095367432,0.028875071555376053
0.9925646781921387,0.022738933563232422,0.9881818294525146,0.0321565680205822
0.9930192828178406,0.020451750606298447,0.9948863387107849,0.016463683918118477
